id,name,tenant_id,store_no,enterprise,domain,province,time_zone,website,Pharmacy Address__unit,Pharmacy Address__street_number,Pharmacy Address__street_name,Pharmacy Address__city,Pharmacy Address__province,Pharmacy Address__postal_code,Pharmacy Address__po_box,Pharmacy Address__latitude,Pharmacy Address__longitude,Pharmacy Address__street_address,Pharmacy Address__country,google_place_id
0001ceb8-da5d-4928-9872-d5676ade7cfa,Dynasty Pharmacy,f29e80f4-9432-4f10-ae73-ed9bf10c4936,,,https://dynastypharmacy.medmeapp.com,ON,America/Toronto,https://dynastypharmacy.ca,106,5460,Yonge Street,North York,Ontario,M2N 6K7,,,,,Canada,
0002a85e-4c20-49d7-bd57-8aa4f78fee79,Garrison Rd Fort Erie,f10d8ca0-ec52-4a28-aabd-9bd3388dab34,1651,REXALL,https://rexall.medmeapp.com/1651,ON,America/Toronto,https://www.rexall.ca,,310-C,Garrison Road,Fort Erie,ON,L2A 1M7,,42.904877,-78.927095,310-C Garrison Road,Canada,
0002c0c6-d49d-4a3b-8690-24b03ffe9b61,Martine Faucher & Harold Simard Pharmacy,d7ffe5f2-0058-452e-bbc4-044cb076a2b4,0217,JCG,https://consultation.jeancoutu.com,QC,America/Toronto,https://www.jeancoutu.com,,180,6e rue,La Baie,QC,G7B 4V9,,48.3308098,-70.8900055,,Canada,
000c0d47-23b7-406f-8800-d3ee0d32f46c,LONDON DRUGS West Edmonton Mall,fa40ffbf-f16c-435d-b9a4-c69e633eb613,0026,LDRUGS,https://londondrugs.medmeapp.com,AB,America/Edmonton,https://www.londondrugs.com,,8882,170th Street,Edmonton,AB,T5T 4M2,,53.52255993,-113.6230359,8882 170th Street,Canada,
00193168-4567-40de-a64a-98fd3a5351bc,ON QA Hidden Pharmacy,edfbb1a3-aca2-4ee4-bbbb-9237237736c4,99997,SDM,https://shoppersdrugmart.medmeapp.com,ON,America/Toronto,https://shoppersdrugmart.ca,,Do,Not Book,Null Island,ON,000,,0,0,Do Not Book,Canada,
001da697-dd14-4dde-99ea-c16595ac8f19,Guardian Uptown Pharmacy,f29e80f4-9432-4f10-ae73-ed9bf10c4936,,,https://uptownpharmacy.medmeapp.ca,ON,America/Toronto,https://www.guardian-ida-pharmacies.ca/en/ontario/toronto/uptown-pharmacy-7039342,,243,Eglinton Avenue west,Toronto,ON,M4R 1B1,,,,,Canada,
0029976c-05dc-4d63-ae96-56aeac4efaf4,SHOPPERS DRUG MART Ottawa & River,edfbb1a3-aca2-4ee4-bbbb-9237237736c4,0866,SDM,https://shoppersdrugmart.medmeapp.com,ON,America/Toronto,https://shoppersdrugmart.ca,,1005,OTTAWA ST. N,Kitchener,ON,N2A 1H2,,43.4491,-80.4448,1005 OTTAWA ST. N,Canada,
00315f7c-5838-42b0-8425-8f759eef1c1d,SHOPPERS DRUG MART Fenwick,edfbb1a3-aca2-4ee4-bbbb-9237237736c4,0133,SDM,https://shoppersdrugmart.medmeapp.com,NS,America/Halifax,https://shoppersdrugmart.ca,,5595,FENWICK ST,Halifax,NS,B3H 4M2,,44.638,-63.5746,5595 FENWICK ST,Canada,
0045eb3e-5bd7-4ec4-9fee-6b04db0cfc6d,SHOPPERS DRUG MART Orchard Park S.C.,edfbb1a3-aca2-4ee4-bbbb-9237237736c4,0225,SDM,https://shoppersdrugmart.medmeapp.com,BC,America/Vancouver,https://shoppersdrugmart.ca,UNIT 1360,2271,HARVEY AVE,Kelowna,BC,V1Y 6H2,,49.8807,-119.4397,2271 HARVEY AVE,Canada,
0055c051-8db2-4405-ab9f-fe58ca4f8ba2,SHOPPERS DRUG MART Metrotown,edfbb1a3-aca2-4ee4-bbbb-9237237736c4,2250,SDM,https://shoppersdrugmart.medmeapp.com,BC,America/Vancouver,https://shoppersdrugmart.ca,,343,4800 KINGSWAY,Burnaby,BC,V5H 4J2,,49.2255,-122.999,343 4800 KINGSWAY,Canada,
0059c4b4-7be4-4ff9-a15a-58aca6c8bea9,Fortinos Hamilton Centennial - Loblaw Pharmacy,edfbb1a3-aca2-4ee4-bbbb-9237237736c4,4070,LCL,https://shoppersdrugmart.medmeapp.com/lcl,ON,America/Toronto,https://shoppersdrugmart.ca,,75,Centennial Pkwy,Hamilton,ON,L8E 2P2,,43.230833,-79.765785,75 Centennial Pkwy,Canada,
0063318c-92fb-4f55-9032-a7a6de241c25,Brown’s Pharmasave Wingham,f29e80f4-9432-4f10-ae73-ed9bf10c4936,,,https://brownspharmasave.medmeapp.ca,ON,America/Toronto,https://pharmasave.com/store/pharmasave-james-brown-pharmacy/,,198,Josephine St,Wingham,ON,N0G 2W0,,,,,Canada,
00abc834-ff9d-4829-896a-a8b0b53956a2,McKenzieTown Calgary,f10d8ca0-ec52-4a28-aabd-9bd3388dab34,72850,REXALL,https://rexall.medmeapp.com/72850,AB,America/Edmonton,https://www.rexall.ca,,70,High Street,Calgary,AB,T2Z 3V1,T2Z 3V1,50.9148,-113.961,70 High Street SE,Canada,
00bc68f5-34fb-4f65-90af-d28207657f4a,Shoppers Drug Mart,edfbb1a3-aca2-4ee4-bbbb-9237237736c4,3034,SDM,https://shoppersdrugmart.medmeapp.com,AB,America/Edmonton,https://shoppersdrugmart.ca,,10010,102A ave NW Main Floor,Edmonton,AB,T5J 0G5,,53.54,-113.49,10010 102A ave NW Main Floor,Canada,
00c2ed8f-e2d6-47a6-9dda-38ec6f669d2b,SHOPPERS DRUG MART Chipman,edfbb1a3-aca2-4ee4-bbbb-9237237736c4,0178,SDM,https://shoppersdrugmart.medmeapp.com,NB,America/Moncton,https://shoppersdrugmart.ca,,263,MAIN ST,Chipman,NB,E4A 2H2,,46.1752,-65.8811,263 MAIN ST,Canada,
00ca10a2-3102-4b91-bc32-beee8ac4f9c5,BE HEALTHY PHARMACY,f29e80f4-9432-4f10-ae73-ed9bf10c4936,,,https://behealthypharmacy.medmeapp.ca,AB,America/Edmonton,behealthypharmacy.ca,,10120,149 Street NW,Edmonton,Alberta,T5P 1L1,,,,,Canada,
00ce173e-1a36-4a26-8acc-c51f8789df0f,Whitney Pharmacy,f29e80f4-9432-4f10-ae73-ed9bf10c4936,,,https://whitneypharmacy.medmeapp.ca,ON,America/Toronto,https://www.facebook.com/whitneypharmacy/,,29542,Highway 60,Whitney,Ontario,K0J 2MO,,,,,Canada,
00d0a566-af27-401d-acfa-83e5f3eda90b,SHOPPERS DRUG MART Heritage Valley Tc,edfbb1a3-aca2-4ee4-bbbb-9237237736c4,2412,SDM,https://shoppersdrugmart.medmeapp.com,AB,America/Edmonton,https://shoppersdrugmart.ca,,2650,JAMES MOWATT TRAIL SW,Edmonton,AB,T6W 3R3,,53.4072,-113.5343,2650 JAMES MOWATT TRAIL SW,Canada,
00e19951-7c77-47e6-8038-f46398ad9d1c,Dalecliff pharmacy,f29e80f4-9432-4f10-ae73-ed9bf10c4936,,,https://dalecliffpharmacy.medmeapp.ca,ON,America/Toronto,https://www.guardian-ida-pharmacies.ca/en/ontario/toronto/dalecliff-medical-pharmacy-7019630,Unit #2,209,Ellesmere Rd,Scarborough,Ontario,M1R 4E2,,,,,Canada,
00e7624e-dba1-4033-bbdc-551ca13676b8,Pharmacy First,f29e80f4-9432-4f10-ae73-ed9bf10c4936,,PANS,https://pharmacyfirst.medmeapp.ca,NS,America/Halifax,https://www.facebook.com/PharmacyFirstLtd/,,266,Foord Street,Stellarton,NS,B0K 1S0,,,,,Canada,
00fb4e3c-bc4c-4aaa-971a-2626731b59af,Albert Street Southampton Rexall,f10d8ca0-ec52-4a28-aabd-9bd3388dab34,1644,REXALL,https://rexall.medmeapp.com/1644,ON,America/Toronto,https://www.rexall.ca,,174,Albert Street South,Southampton,ON,N0H 2L0,,44.489246,-81.375816,174 Albert Street South,Canada,
